2,1.84111, 0.383148, 1.38979, 
2.01,1.83475, 0.382328, 1.38679, 
2.02,1.82839, 0.381515, 1.3838, 
2.03,1.82205, 0.380707, 1.38081, 
2.04,1.81572, 0.379906, 1.37782, 
2.05,1.80941, 0.379113, 1.37485, 
2.06,1.80312, 0.378326, 1.37188, 
2.07,1.79686, 0.377547, 1.36892, 
2.08,1.79063, 0.376777, 1.36598, 
2.09,1.78443, 0.376015, 1.36305, 
2.1,1.77827, 0.375262, 1.36013, 
2.11,1.77215, 0.374518, 1.35723, 
2.12,1.76607, 0.373784, 1.35435, 
2.13,1.76004, 0.373059, 1.35149, 
2.14,1.75406, 0.372345, 1.34866, 
2.15,1.74813, 0.371641, 1.34585, 
2.16,1.74226, 0.370948, 1.34306, 
2.17,1.73644, 0.370266, 1.3403, 
2.18,1.73069, 0.369595, 1.33757, 
2.19,1.72501, 0.368936, 1.33487, 
2.2,1.71939, 0.368288, 1.3322, 
2.21,1.71384, 0.367652, 1.32956, 
2.22,1.70837, 0.367029, 1.32696, 
2.23,1.70298, 0.366418, 1.32439, 
2.24,1.69766, 0.365819, 1.32187, 
2.25,1.69243, 0.365233, 1.31938, 
2.26,1.68729, 0.36466, 1.31693, 
2.27,1.68224, 0.3641, 1.31453, 
2.28,1.67727, 0.363553, 1.31216, 
2.29,1.6724, 0.36302, 1.30984, 
2.3,1.66763, 0.3625, 1.30757, 
2.31,1.66296, 0.361993, 1.30535, 
2.32,1.65839, 0.3615, 1.30317, 
2.33,1.65393, 0.361021, 1.30105, 
2.34,1.64957, 0.360556, 1.29897, 
2.35,1.64532, 0.360105, 1.29695, 
2.36,1.64119, 0.359668, 1.29498, 
2.37,1.63716, 0.359245, 1.29306, 
2.38,1.63326, 0.358836, 1.2912, 
2.39,1.62947, 0.358441, 1.2894, 
2.4,1.62581, 0.358061, 1.28765, 
2.41,1.62226, 0.357695, 1.28596, 
2.42,1.61884, 0.357343, 1.28433, 
2.43,1.61555, 0.357006, 1.28276, 
2.44,1.61239, 0.356683, 1.28126, 
2.45,1.60935, 0.356375, 1.27981, 
2.46,1.60645, 0.356081, 1.27843, 
2.47,1.60368, 0.355802, 1.27711, 
2.48,1.60105, 0.355537, 1.27586, 
2.49,1.59855, 0.355286, 1.27467, 
2.5,1.59619, 0.355051, 1.27354, 
2.51,1.59397, 0.354829, 1.27249, 
2.52,1.59189, 0.354623, 1.27149, 
2.53,1.58995, 0.354431, 1.27057, 
2.54,1.58816, 0.354253, 1.26972, 
2.55,1.5865, 0.35409, 1.26893, 
2.56,1.585, 0.353942, 1.26821, 
2.57,1.58363, 0.353808, 1.26756, 
2.58,1.58242, 0.353689, 1.26698, 
2.59,1.58135, 0.353584, 1.26648, 
2.6,1.58043, 0.353494, 1.26604, 
2.61,1.57965, 0.353418, 1.26567, 
2.62,1.57903, 0.353357, 1.26537, 
2.63,1.57855, 0.353311, 1.26514, 
2.64,1.57823, 0.353279, 1.26499, 
2.65,1.57805, 0.353262, 1.2649, 
2.66,1.57802, 0.353259, 1.26489, 
2.67,1.57814, 0.353271, 1.26495, 
