0, 0.499954, -0.0100001, 1, 0.00999994, 0.99995, 0.00500007, -1, 0.00499985, 0.500004, 
18.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
19.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
20.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
21.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
22.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
23.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
24.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
25.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
