0.71,3.55397e-05,4.97175e-05,4.22068e-05,4.86543e-05,6.66719e-06,-1.0632e-06,0,1.03512e-15
0.72,3.78353e-05,5.24054e-05,4.50095e-05,5.12686e-05,7.17417e-06,-1.13683e-06,0,1.06738e-15
0.73,4.02793e-05,5.52208e-05,4.79994e-05,5.40055e-05,7.72011e-06,-1.21524e-06,-6.10653e-31,1.10005e-15
0.74,4.28828e-05,5.81698e-05,5.11911e-05,5.68711e-05,8.30828e-06,-1.29872e-06,-1.25756e-30,1.13271e-15
0.75,4.56579e-05,6.12589e-05,5.46002e-05,5.98713e-05,8.94224e-06,-1.38761e-06,-1.94126e-30,1.16569e-15
0.76,4.86179e-05,6.44951e-05,5.82438e-05,6.30129e-05,9.62593e-06,-1.48222e-06,-2.66272e-30,1.19918e-15
0.77,5.17773e-05,6.78856e-05,6.21409e-05,6.63027e-05,1.03637e-05,-1.58292e-06,-3.422e-30,1.23291e-15
0.78,5.5152e-05,7.1438e-05,6.63121e-05,6.97479e-05,1.11601e-05,-1.69007e-06,-4.21796e-30,1.2664e-15
0.79,5.87594e-05,7.51604e-05,7.078e-05,7.33563e-05,1.20206e-05,-1.80406e-06,-5.05064e-30,1.29978e-15
0.8,6.26188e-05,7.90612e-05,7.55695e-05,7.71359e-05,1.29507e-05,-1.92529e-06,-5.92333e-30,1.33382e-15
0.81,6.67512e-05,8.31494e-05,8.0708e-05,8.10952e-05,1.39568e-05,-2.05418e-06,-6.83704e-30,1.3685e-15
0.82,7.11798e-05,8.74342e-05,8.62256e-05,8.52431e-05,1.50458e-05,-2.19116e-06,-7.79331e-30,1.40392e-15
0.83,7.59301e-05,9.19254e-05,9.21554e-05,8.95887e-05,1.62253e-05,-2.33667e-06,-8.79197e-30,1.43984e-15
0.84,8.10303e-05,9.66329e-05,9.8534e-05,9.41417e-05,1.75037e-05,-2.49116e-06,-9.83465e-30,1.47638e-15
0.85,8.65112e-05,0.000101567,0.000105401,9.89121e-05,1.88903e-05,-2.65508e-06,-1.092e-29,1.51321e-15
0.86,9.24068e-05,0.000106739,0.000112802,0.00010391,2.03953e-05,-2.82887e-06,-1.20506e-29,1.55061e-15
0.87,9.87546e-05,0.000112159,0.000120784,0.000109146,2.20298e-05,-3.01294e-06,-1.32229e-29,1.58801e-15
0.88,0.000105596,0.000117838,0.000129402,0.00011463,2.38061e-05,-3.20771e-06,-1.44406e-29,1.62586e-15
0.89,0.000112975,0.000123786,0.000138713,0.000120373,2.57377e-05,-3.4135e-06,-1.57059e-29,1.66431e-15
0.9,0.000120942,0.000130015,0.000148781,0.000126384,2.78391e-05,-3.63062e-06,-1.70182e-29,1.70318e-15
0.91,0.000129549,0.000136533,0.000159675,0.000132674,3.01263e-05,-3.85925e-06,-1.83793e-29,1.74259e-15
0.92,0.000138855,0.00014335,0.000171471,0.000139251,3.26163e-05,-4.09949e-06,-1.97822e-29,1.78183e-15
0.93,0.000148921,0.000150472,0.000184248,0.000146121,3.53275e-05,-4.35125e-06,-2.12244e-29,1.82069e-15
0.94,0.000159813,0.000157904,0.000198092,0.00015329,3.8279e-05,-4.6143e-06,-2.27051e-29,1.85918e-15
0.95,0.000171599,0.000165649,0.00021309,0.000160761,4.1491e-05,-4.88814e-06,-2.42318e-29,1.89791e-15
